section_name,question_number,question_text,plain_text,option_a,option_b,option_c,option_d,correct_option,marks,diagram_url
IT Skills,1,Which of the following is not cyber crime?,Which of the following is NOT a cyber crime?,Cryptography,Denial of Service,Man-in-the-middle attack,Phishing,A,1,
IT Skills,2,DoS is abbreviated as \_\_\_\_\_\_\_\_.,DoS is abbreviated as _________,Denial of Service,Distribution of Server,Distribution of Service,Denial of Server,A,1,
IT Skills,3,"\_\_\_\_ protects interconnected systems including hardware, software and programs and data from cyber attacks.","____ protects interconnected systems including hardware, software and programs and data from cyber attacks.",Cyber Security,Computer Security,Resource Security,Hardware Security,A,1,
IT Skills,4,Basic functionality of the network device firewall is:,Basic functionality of the network device firewall is:,scans mobile applications,monitoring database,privatizes the computers,monitoring incoming and outgoing networks,D,1,
IT Skills,5,An algorithm represented in the form of programming language is called:,An algorithm represented in the form of programming language is called:,Flowchart,Pseudocode,Program,Instruction,C,1,
IT Skills,6,The \_\_\_\_\_ symbol is used when the flowchart is starting or ending.,The ____ symbol is used when the flowchart is starting or ending.,Connector/Arrow,Terminal box/Rounded rectangle,Input/Output,Process,B,1,
IT Skills,7,MIT App Inventor allows user to,MIT App Inventor allows user to,Create web application,Build Android application,Create System Software,Develop Operating System,B,1,
IT Skills,8,What is the function of the ``when green flag clicked'' command block?,What is the function of the when green flag clicked command block?,Points Sprite in the specified direction,"If condition is true, runs the blocks inside",Runs the script,Stops the execution of script,C,1,
IT Skills,9,The correct sequence of HTML tags for starting a webpage is:,The correct sequence of HTML tags for starting a webpage is:,"Head, Title, Html, Body","Html, Head, Title, Body","Html, Body, Title, Head","Html, Title, Head, Body",B,1,
IT Skills,10,Web server:,Web server:,is a computer system that delivers web pages,is delivery news,provides options for those seeking real-time discussions,prints documents,A,1,
IT Skills,11,Which of the following is used to style the appearance of web pages?,Which of the following is used to style the appearance of web pages?,Html,JavaScript,PHP,CSS,D,1,
IT Skills,12,Which of the following is an example of web browser?,Which of the following is an example of web browser?,Google,Firefox,Apache,MySQL,B,1,
IT Skills,13,Which of the following is an open source and free workflow management software?,Which of the following is an open source and free workflow management software?,Trello,MS Excel,Windows,Linux,A,1,
IT Skills,14,ERP package will handle \_\_\_\_\_\_ business functionality/functionalities.,ERP package will handle ______ business functionality/functionalities.,One,Two,Three,Multiple/all,D,1,
IT Skills,15,"\_\_\_\_ is a visual diagram of a company that describes what employees do, whom they report to and how decisions are made.","____ is a visual diagram of a company that describes what employees do, whom they report to and how decisions are made.",Physical Structure,Organizational Structure,Logical Structure,Hybrid Structure,B,1,
IT Skills,16,"\_\_\_\_ is a methodology used in system analysis to identify, clarify, and organize system requirements.","____ is a methodology used in system analysis to identify, clarify, and organize system requirements.",Workflow,Use case,Algorithm,Software,B,1,
IT Skills,17,Which of the following is not an application of IoT?,Which of the following is NOT an application of IoT?,Web browser,Smart home,Smart city,Self-driven cars,A,1,
IT Skills,18,Which of the following is not a cloud service option?,Which of the following is NOT a cloud service option?,VaaS,IaaS,PaaS,SaaS,A,1,
IT Skills,19,How many types of services are offered by cloud computing to the users?,How many types of services are offered by cloud computing to the users?,2,4,3,5,C,1,
IT Skills,20,Combination of Public and Private deployment is called,Combination of Public and Private deployment is called,Hybrid,Hyper,Public,Private,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,21,Unit of electrical power is,Unit of electrical power is,Volt,Watt,Watt-hour,Ampere-hour,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,22,"In pipe earthing, the diameter of GI pipe embedded in the pit is","In pipe earthing, the diameter of GI pipe embedded in the pit is",32 mm,38 mm,48 mm,56 mm,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,23,"If a resistor of \(100\,\Omega\) is connected in series with a parallel combination of two \(200\,\Omega\) resistors, the effective resistance is","If a resistor of \(100\,\Omega\) is connected in series with a parallel combination of two \(200\,\Omega\) resistors, the effective resistance is",200 ohms,250 ohms,350 ohms,150 ohms,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,24,"If a resistor of \(20\,\Omega\) is connected across a source of \(5\text{ V}\), the current in the circuit is","If a resistor of \(20\,\Omega\) is connected across a source of \(5\text{ V}\), the current in the circuit is",1 Ampere,4 Amperes,0.5 Amperes,0.25 Amperes,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,25,Power factor is,Power factor is,ratio of resistance to inductance,ratio of apparent power to true power,ratio of resistance to impedance,ratio of inductance to capacitance,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,26,The phase–neutral voltage in a 3-phase star system is \(230\text{ V}\). The line voltage is,The phase–neutral voltage in a 3-phase star system is \(230\text{ V}\). The line voltage is,230 V,398.37 V,400 V,440 V,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,27,The time period of an AC wave at \(50\text{ Hz}\) is,The time period of an AC wave at \(50\text{ Hz}\) is,2 ms,10 ms,20 ms,50 ms,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,28,The type of fuse used for domestic purpose is,The type of fuse used for domestic purpose is,HRC fuse,Kit-kat fuse,Ceramic cartridge fuse,Glass cartridge fuse,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,29,MCCB stands for,MCCB stands for,Moulded Case Circuit Breaker,Miniature Case Circuit Breaker,Maximum Current Circuit Breaker,Minimum Current Circuit Breaker,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,30,ELCB is used for detecting current leakage,ELCB is used for detecting current leakage,above 8 kVA,below 5 kVA,above 5 kVA,below 8 kVA,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,31,A static machine that transfers electrical power from one circuit to another without changing frequency is called,A static machine that transfers electrical power from one circuit to another without changing frequency is called,DC machine,Alternator,Induction motor,Transformer,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,32,The initial type of connection of motor windings in a star-delta starter is,The initial type of connection of motor windings in a star-delta starter is,Star connection,Delta connection,Series,Parallel,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,33,The cause for a 3-phase motor producing mechanical noise is,The cause for a 3-phase motor producing mechanical noise is,Interchanged supply terminals,High load on motor,High voltage on motor winding,Incorrect coupling,D,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,34,Cell is an ______ device.,Cell is an ______ device.,electro-mechanical,electro-chemical,electro-magnetic,electro-dynamic,B,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,35,The most commonly used battery in electric vehicles is,The most commonly used battery in electric vehicles is,Lithium-ion battery,Lead-acid battery,Nickel-Cadmium battery,Alkaline rechargeable battery,A,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,36,Digital signals are characterized by,Digital signals are characterized by,Continuous voltage levels,Infinite resolution,Discrete voltage levels,Variable voltage levels,C,1,
FUNDAMENTALS OF ELECTRICAL & ELECTRONICS ENGINEERING,37,"According to Boolean Algebra, \(A + A =\)","According to Boolean Algebra, \(A + A =\)",2A,A,1,A^{2},A,1,
